campaign_id,channel,campaign_version,month,month_name,month_num
TEL_CONTROL_MAY,telephone,control,may,May,5
TEL_TEST_MAY,telephone,test,may,May,5
TEL_CONTROL_JUN,telephone,control,jun,Jun,6
TEL_TEST_JUN,telephone,test,jun,Jun,6
TEL_CONTROL_JUL,telephone,control,jul,Jul,7
TEL_TEST_JUL,telephone,test,jul,Jul,7
CEL_CONTROL_JUL,cellular,control,jul,Jul,7
CEL_TEST_JUL,cellular,test,jul,Jul,7
CEL_CONTROL_AUG,cellular,control,aug,Aug,8
CEL_TEST_AUG,cellular,test,aug,Aug,8
TEL_CONTROL_AUG,telephone,control,aug,Aug,8
TEL_TEST_AUG,telephone,test,aug,Aug,8
TEL_CONTROL_OCT,telephone,control,oct,Oct,10
TEL_TEST_OCT,telephone,test,oct,Oct,10
CEL_TEST_OCT,cellular,test,oct,Oct,10
TEL_CONTROL_NOV,telephone,control,nov,Nov,11
TEL_TEST_NOV,telephone,test,nov,Nov,11
CEL_TEST_NOV,cellular,test,nov,Nov,11
CEL_CONTROL_NOV,cellular,control,nov,Nov,11
TEL_TEST_DEC,telephone,test,dec,Dec,12
CEL_TEST_DEC,cellular,test,dec,Dec,12
TEL_CONTROL_DEC,telephone,control,dec,Dec,12
CEL_TEST_MAR,cellular,test,mar,Mar,3
CEL_CONTROL_MAR,cellular,control,mar,Mar,3
TEL_CONTROL_MAR,telephone,control,mar,Mar,3
TEL_TEST_MAR,telephone,test,mar,Mar,3
CEL_CONTROL_APR,cellular,control,apr,Apr,4
CEL_TEST_APR,cellular,test,apr,Apr,4
TEL_TEST_APR,telephone,test,apr,Apr,4
TEL_CONTROL_APR,telephone,control,apr,Apr,4
CEL_TEST_MAY,cellular,test,may,May,5
CEL_CONTROL_MAY,cellular,control,may,May,5
CEL_CONTROL_JUN,cellular,control,jun,Jun,6
CEL_TEST_JUN,cellular,test,jun,Jun,6
CEL_CONTROL_SEP,cellular,control,sep,Sep,9
CEL_TEST_SEP,cellular,test,sep,Sep,9
TEL_CONTROL_SEP,telephone,control,sep,Sep,9
TEL_TEST_SEP,telephone,test,sep,Sep,9
CEL_CONTROL_OCT,cellular,control,oct,Oct,10
CEL_CONTROL_DEC,cellular,control,dec,Dec,12
