customer_id,age,age_group,job,marital,education,default,housing,loan,has_unknown_value
1,56,55+,housemaid,married,basic.4y,no,no,no,False
2,57,55+,services,married,high.school,unknown,no,no,True
3,37,36-45,services,married,high.school,no,yes,no,False
4,40,36-45,admin.,married,basic.6y,no,no,no,False
5,56,55+,services,married,high.school,no,no,yes,False
6,45,36-45,services,married,basic.9y,unknown,no,no,True
7,59,55+,admin.,married,professional.course,no,no,no,False
8,41,36-45,blue-collar,married,unknown,unknown,no,no,True
9,24,18-25,technician,single,professional.course,no,yes,no,False
10,25,18-25,services,single,high.school,no,yes,no,False
11,41,36-45,blue-collar,married,unknown,unknown,no,no,True
12,25,18-25,services,single,high.school,no,yes,no,False
13,29,26-35,blue-collar,single,high.school,no,no,yes,False
14,57,55+,housemaid,divorced,basic.4y,no,yes,no,False
15,35,26-35,blue-collar,married,basic.6y,no,yes,no,False
16,54,46-55,retired,married,basic.9y,unknown,yes,yes,True
17,35,26-35,blue-collar,married,basic.6y,no,yes,no,False
18,46,46-55,blue-collar,married,basic.6y,unknown,yes,yes,True
19,50,46-55,blue-collar,married,basic.9y,no,yes,yes,False
20,39,36-45,management,single,basic.9y,unknown,no,no,True
21,30,26-35,unemployed,married,high.school,no,no,no,False
22,55,46-55,blue-collar,married,basic.4y,unknown,yes,no,True
23,55,46-55,retired,single,high.school,no,yes,no,False
24,41,36-45,technician,single,high.school,no,yes,no,False
25,37,36-45,admin.,married,high.school,no,yes,no,False
26,35,26-35,technician,married,university.degree,no,no,yes,False
27,59,55+,technician,married,unknown,no,yes,no,True
28,39,36-45,self-employed,married,basic.9y,unknown,no,no,True
29,54,46-55,technician,single,university.degree,unknown,no,no,True
30,55,46-55,unknown,married,university.degree,unknown,unknown,unknown,True
31,46,46-55,admin.,married,unknown,no,no,no,True
32,59,55+,technician,married,unknown,no,yes,no,True
33,49,46-55,blue-collar,married,unknown,no,no,no,True
34,54,46-55,management,married,basic.4y,unknown,yes,no,True
35,54,46-55,blue-collar,divorced,basic.4y,no,no,no,False
36,55,46-55,unknown,married,basic.4y,unknown,yes,no,True
37,34,26-35,services,married,high.school,no,no,no,False
38,52,46-55,technician,married,basic.9y,no,yes,no,False
39,41,36-45,admin.,married,university.degree,no,yes,no,False
40,56,55+,technician,married,basic.4y,no,yes,no,False
41,58,55+,management,unknown,university.degree,no,yes,no,True
42,32,26-35,entrepreneur,married,high.school,no,yes,no,False
43,38,36-45,admin.,single,professional.course,no,no,no,False
44,57,55+,admin.,married,university.degree,no,no,yes,False
45,44,36-45,admin.,married,university.degree,unknown,yes,no,True
46,42,36-45,technician,single,professional.course,unknown,no,no,True
47,57,55+,admin.,married,university.degree,no,yes,yes,False
48,40,36-45,blue-collar,married,basic.9y,no,no,yes,False
49,35,26-35,admin.,married,university.degree,no,yes,no,False
50,45,36-45,blue-collar,married,basic.9y,no,yes,no,False
51,54,46-55,admin.,married,high.school,no,no,no,False
52,39,36-45,housemaid,married,basic.4y,no,no,yes,False
53,60,55+,admin.,married,high.school,no,no,no,False
54,53,46-55,admin.,single,professional.course,no,no,no,False
55,55,46-55,blue-collar,married,basic.4y,unknown,no,no,True
56,55,46-55,technician,married,professional.course,unknown,yes,no,True
57,50,46-55,management,married,university.degree,unknown,no,yes,True
58,45,36-45,services,married,high.school,unknown,yes,no,True
59,55,46-55,unemployed,married,professional.course,unknown,yes,yes,True
60,25,18-25,technician,single,university.degree,no,yes,no,False
61,47,46-55,entrepreneur,married,university.degree,unknown,no,no,True
62,51,46-55,blue-collar,married,basic.9y,no,yes,no,False
63,42,36-45,blue-collar,married,basic.6y,unknown,yes,no,True
64,42,36-45,blue-collar,married,basic.6y,unknown,no,no,True
65,48,46-55,admin.,married,high.school,no,no,no,False
66,37,36-45,admin.,married,university.degree,no,no,no,False
67,44,36-45,blue-collar,single,basic.9y,no,yes,no,False
68,33,26-35,admin.,married,unknown,no,yes,no,True
69,56,55+,admin.,married,basic.9y,no,yes,no,False
70,44,36-45,blue-collar,single,basic.4y,unknown,yes,yes,True
71,41,36-45,management,married,basic.6y,no,no,no,False
72,44,36-45,management,divorced,university.degree,no,yes,no,False
73,47,46-55,admin.,married,university.degree,unknown,yes,no,True
74,57,55+,unknown,married,unknown,unknown,no,no,True
75,37,36-45,admin.,married,university.degree,unknown,yes,no,True
76,41,36-45,blue-collar,divorced,basic.4y,unknown,yes,no,True
77,55,46-55,technician,married,university.degree,no,no,no,False
78,33,26-35,services,married,high.school,unknown,yes,no,True
79,55,46-55,management,married,unknown,unknown,yes,no,True
80,42,36-45,blue-collar,married,basic.9y,unknown,no,no,True
81,50,46-55,blue-collar,married,basic.4y,unknown,yes,no,True
82,51,46-55,blue-collar,married,basic.4y,unknown,unknown,unknown,True
83,38,36-45,admin.,married,high.school,unknown,no,no,True
84,49,46-55,entrepreneur,married,university.degree,unknown,yes,no,True
85,38,36-45,technician,single,university.degree,no,no,yes,False
86,31,26-35,admin.,divorced,high.school,no,no,no,False
87,41,36-45,management,married,basic.6y,no,no,no,False
88,39,36-45,admin.,married,university.degree,no,yes,yes,False
89,49,46-55,technician,married,basic.9y,no,no,no,False
90,34,26-35,admin.,married,high.school,no,yes,no,False
91,35,26-35,admin.,married,university.degree,no,yes,no,False
92,57,55+,unknown,married,unknown,unknown,yes,no,True
93,60,55+,admin.,married,unknown,unknown,no,yes,True
94,33,26-35,unemployed,married,basic.9y,no,no,no,False
95,42,36-45,blue-collar,married,basic.6y,no,no,yes,False
96,45,36-45,services,married,professional.course,no,yes,no,False
97,42,36-45,management,married,university.degree,no,no,no,False
98,53,46-55,admin.,divorced,university.degree,unknown,no,no,True
99,37,36-45,technician,single,professional.course,no,no,no,False
100,44,36-45,blue-collar,married,basic.6y,no,no,no,False
101,54,46-55,services,married,unknown,no,yes,no,True
102,49,46-55,blue-collar,married,basic.4y,no,no,no,False
103,54,46-55,services,married,unknown,no,no,no,True
104,52,46-55,admin.,divorced,university.degree,no,no,no,False
105,52,46-55,admin.,divorced,university.degree,no,no,no,False
106,43,36-45,services,single,high.school,unknown,no,no,True
107,34,26-35,housemaid,married,basic.6y,no,yes,no,False
108,35,26-35,admin.,married,high.school,no,yes,no,False
109,42,36-45,entrepreneur,married,unknown,unknown,yes,no,True
110,43,36-45,technician,married,unknown,unknown,yes,yes,True
