campaign_id,channel,campaign_version,month_name,month_num,customers_contacted,conversions,planned_cost_per_customer,actual_cost_per_customer,estimated_contribution_per_conversion,planned_budget,actual_spend,estimated_contribution,estimated_profit,budget_variance,budget_variance_pct,budget_status
CEL_CONTROL_APR,cellular,control,Apr,4,1222,241,18,20,300,21996,24440,72300,47860,-2444,-0.1111111111111111,Over Budget
CEL_CONTROL_AUG,cellular,control,Aug,8,2953,318,18,20,300,53154,59060,95400,36340,-5906,-0.1111111111111111,Over Budget
CEL_CONTROL_DEC,cellular,control,Dec,12,74,40,18,20,300,1332,1480,12000,10520,-148,-0.1111111111111111,Over Budget
CEL_CONTROL_JUL,cellular,control,Jul,7,3046,289,18,20,300,54828,60920,86700,25780,-6092,-0.1111111111111111,Over Budget
CEL_CONTROL_JUN,cellular,control,Jun,6,410,168,18,20,300,7380,8200,50400,42200,-820,-0.1111111111111111,Over Budget
CEL_CONTROL_MAR,cellular,control,Mar,3,243,132,18,20,300,4374,4860,39600,34740,-486,-0.1111111111111111,Over Budget
CEL_CONTROL_MAY,cellular,control,May,5,2758,324,18,20,300,49644,55160,97200,42040,-5516,-0.1111111111111111,Over Budget
CEL_CONTROL_NOV,cellular,control,Nov,11,1837,180,18,20,300,33066,36740,54000,17260,-3674,-0.1111111111111111,Over Budget
CEL_CONTROL_OCT,cellular,control,Oct,10,281,129,18,20,300,5058,5620,38700,33080,-562,-0.1111111111111111,Over Budget
CEL_CONTROL_SEP,cellular,control,Sep,9,241,126,18,20,300,4338,4820,37800,32980,-482,-0.1111111111111111,Over Budget
CEL_TEST_APR,cellular,test,Apr,4,1222,252,22,25,300,26884,30550,75600,45050,-3666,-0.13636363636363635,Over Budget
CEL_TEST_AUG,cellular,test,Aug,8,2954,301,22,25,300,64988,73850,90300,16450,-8862,-0.13636363636363635,Over Budget
CEL_TEST_DEC,cellular,test,Dec,12,75,38,22,25,300,1650,1875,11400,9525,-225,-0.13636363636363635,Over Budget
CEL_TEST_JUL,cellular,test,Jul,7,3046,301,22,25,300,67012,76150,90300,14150,-9138,-0.13636363636363635,Over Budget
CEL_TEST_JUN,cellular,test,Jun,6,410,181,22,25,300,9020,10250,54300,44050,-1230,-0.13636363636363635,Over Budget
CEL_TEST_MAR,cellular,test,Mar,3,243,120,22,25,300,5346,6075,36000,29925,-729,-0.13636363636363635,Over Budget
CEL_TEST_MAY,cellular,test,May,5,2759,290,22,25,300,60698,68975,87000,18025,-8277,-0.13636363636363635,Over Budget
CEL_TEST_NOV,cellular,test,Nov,11,1838,186,22,25,300,40436,45950,55800,9850,-5514,-0.13636363636363635,Over Budget
CEL_TEST_OCT,cellular,test,Oct,10,282,124,22,25,300,6204,7050,37200,30150,-846,-0.13636363636363635,Over Budget
CEL_TEST_SEP,cellular,test,Sep,9,241,112,22,25,300,5302,6025,33600,27575,-723,-0.13636363636363635,Over Budget
TEL_CONTROL_APR,telephone,control,Apr,4,93,27,30,35,300,2790,3255,8100,4845,-465,-0.16666666666666666,Over Budget
TEL_CONTROL_AUG,telephone,control,Aug,8,134,19,30,35,300,4020,4690,5700,1010,-670,-0.16666666666666666,Over Budget
TEL_CONTROL_DEC,telephone,control,Dec,12,16,6,30,35,300,480,560,1800,1240,-80,-0.16666666666666666,Over Budget
TEL_CONTROL_JUL,telephone,control,Jul,7,538,36,30,35,300,16140,18830,10800,-8030,-2690,-0.16666666666666666,Over Budget
TEL_CONTROL_JUN,telephone,control,Jun,6,2249,106,30,35,300,67470,78715,31800,-46915,-11245,-0.16666666666666666,Over Budget
TEL_CONTROL_MAR,telephone,control,Mar,3,30,9,30,35,300,900,1050,2700,1650,-150,-0.16666666666666666,Over Budget
TEL_CONTROL_MAY,telephone,control,May,5,4125,130,30,35,300,123750,144375,39000,-105375,-20625,-0.16666666666666666,Over Budget
TEL_CONTROL_NOV,telephone,control,Nov,11,212,20,30,35,300,6360,7420,6000,-1420,-1060,-0.16666666666666666,Over Budget
TEL_CONTROL_OCT,telephone,control,Oct,10,77,24,30,35,300,2310,2695,7200,4505,-385,-0.16666666666666666,Over Budget
TEL_CONTROL_SEP,telephone,control,Sep,9,44,8,30,35,300,1320,1540,2400,860,-220,-0.16666666666666666,Over Budget
TEL_TEST_APR,telephone,test,Apr,4,94,19,38,45,300,3572,4230,5700,1470,-658,-0.18421052631578946,Over Budget
TEL_TEST_AUG,telephone,test,Aug,8,135,17,38,45,300,5130,6075,5100,-975,-945,-0.18421052631578946,Over Budget
TEL_TEST_DEC,telephone,test,Dec,12,17,5,38,45,300,646,765,1500,735,-119,-0.18421052631578946,Over Budget
TEL_TEST_JUL,telephone,test,Jul,7,539,22,38,45,300,20482,24255,6600,-17655,-3773,-0.18421052631578946,Over Budget
TEL_TEST_JUN,telephone,test,Jun,6,2249,104,38,45,300,85462,101205,31200,-70005,-15743,-0.18421052631578946,Over Budget
TEL_TEST_MAR,telephone,test,Mar,3,30,15,38,45,300,1140,1350,4500,3150,-210,-0.18421052631578946,Over Budget
TEL_TEST_MAY,telephone,test,May,5,4125,142,38,45,300,156750,185625,42600,-143025,-28875,-0.18421052631578946,Over Budget
TEL_TEST_NOV,telephone,test,Nov,11,213,30,38,45,300,8094,9585,9000,-585,-1491,-0.18421052631578946,Over Budget
TEL_TEST_OCT,telephone,test,Oct,10,77,38,38,45,300,2926,3465,11400,7935,-539,-0.18421052631578946,Over Budget
TEL_TEST_SEP,telephone,test,Sep,9,44,10,38,45,300,1672,1980,3000,1020,-308,-0.18421052631578946,Over Budget
