experiment_id,customer_id,campaign_id,month,month_name,month_num,converted,campaign,previous,poutcome,campaign_pressure,previously_contacted
1,1,TEL_CONTROL_MAY,may,May,5,0,1,0,nonexistent,Low,No
2,2,TEL_TEST_MAY,may,May,5,0,1,0,nonexistent,Low,No
3,3,TEL_CONTROL_MAY,may,May,5,0,1,0,nonexistent,Low,No
4,4,TEL_CONTROL_MAY,may,May,5,0,1,0,nonexistent,Low,No
5,5,TEL_TEST_MAY,may,May,5,0,1,0,nonexistent,Low,No
6,6,TEL_TEST_MAY,may,May,5,0,1,0,nonexistent,Low,No
7,7,TEL_TEST_MAY,may,May,5,0,1,0,nonexistent,Low,No
8,8,TEL_CONTROL_MAY,may,May,5,0,1,0,nonexistent,Low,No
9,9,TEL_CONTROL_MAY,may,May,5,0,1,0,nonexistent,Low,No
10,10,TEL_TEST_MAY,may,May,5,0,1,0,nonexistent,Low,No
11,11,TEL_CONTROL_MAY,may,May,5,0,1,0,nonexistent,Low,No
12,12,TEL_CONTROL_MAY,may,May,5,0,1,0,nonexistent,Low,No
13,13,TEL_TEST_MAY,may,May,5,0,1,0,nonexistent,Low,No
14,14,TEL_CONTROL_MAY,may,May,5,0,1,0,nonexistent,Low,No
15,15,TEL_CONTROL_MAY,may,May,5,0,1,0,nonexistent,Low,No
16,16,TEL_TEST_MAY,may,May,5,0,1,0,nonexistent,Low,No
17,17,TEL_CONTROL_MAY,may,May,5,0,1,0,nonexistent,Low,No
18,18,TEL_TEST_MAY,may,May,5,0,1,0,nonexistent,Low,No
19,19,TEL_TEST_MAY,may,May,5,0,1,0,nonexistent,Low,No
20,20,TEL_CONTROL_MAY,may,May,5,0,1,0,nonexistent,Low,No
21,21,TEL_TEST_MAY,may,May,5,0,1,0,nonexistent,Low,No
22,22,TEL_CONTROL_MAY,may,May,5,0,1,0,nonexistent,Low,No
23,23,TEL_CONTROL_MAY,may,May,5,0,1,0,nonexistent,Low,No
24,24,TEL_CONTROL_MAY,may,May,5,0,1,0,nonexistent,Low,No
25,25,TEL_CONTROL_MAY,may,May,5,0,1,0,nonexistent,Low,No
26,26,TEL_TEST_MAY,may,May,5,0,1,0,nonexistent,Low,No
27,27,TEL_TEST_MAY,may,May,5,0,1,0,nonexistent,Low,No
